sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Zebedee Kedge,Department A,$4.18,29,8 Marcy Park,Toledo,Ohio,f2e24583c63a0d0b4861c49edcc95ab4,2/2/2016
Krystle Boothe,Department D,$31.77,10,091 Bartelt Court,Portsmouth,New Hampshire,c4559fa7a06b39ef66502b0ca216626c,6/11/2016
Jacquette Oakley,Department C,$15.63,8,39769 Oak Crossing,Charlotte,North Carolina,481d93ceeaa71fa6f9fe1dee4ad8f511,5/9/2016
Linn Becerra,Department B,$9.55,3,9500 Dapin Terrace,Washington,District of Columbia,0dcc367fb4968baa6d3903dcc3d3a447,7/7/2017
Atlante Harower,Department D,$71.34,55,10489 Moulton Lane,Wilmington,Delaware,3dec0f7cc46b8a6d32b78a8dff5f7def,2/25/2016
Celestyna Erskine,Department C,$95.92,38,46 Clove Pass,North Hollywood,California,f6233639ed0afdc39c7da7705a79abca,6/11/2017
Linn Becerra,Department B,$69.43,23,427 Prentice Center,Pocatello,Idaho,da0a73aef25b689421e076eaf5f0c5a8,7/14/2017
Atlante Harower,Department D,$93.37,98,506 Village Point,Johnstown,Pennsylvania,7435a2c90dd8baa3bf10aa4101ae6267,10/11/2016
Zaneta Delmage,Department B,$59.99,34,63 Tomscot Lane,Boise,Idaho,1fc87194c6063e2779fb958128c4c7b4,12/5/2016
Nell Lindup,Department C,$81.78,7,3475 Larry Drive,Louisville,Kentucky,ccbc63ca86dec7228bff0ae94c5ac5e0,1/31/2016
Zaneta Delmage,Department B,$72.30,73,61 Mitchell Court,Colorado Springs,Colorado,b3be42ea3c0a62ceb252dbd0066f7fcb,11/2/2016
Brear Fairs,Department D,$24.04,61,079 Portage Crossing,Memphis,Tennessee,7b671c0c6de227a837a320070b414cbb,11/22/2016
Linn Becerra,Department B,$42.85,9,5481 Sundown Road,Palatine,Illinois,d134ee577ae01678d60fb714fd2c625d,2/7/2016
Dallas Le,Department B,$82.60,39,1558 Petterle Plaza,Conroe,Texas,48a48fa61748bf65323ed04d35f50932,12/5/2016
Zebedee Kedge,Department A,$71.67,57,878 Loeprich Trail,San Jose,California,0990d221a24f8665c62971572ea4c14e,6/15/2017
Zebedee Kedge,Department A,$38.51,57,10059 Heffernan Avenue,Tampa,Florida,1e2d4afe7d1b59ab14c4d56a76b7abc8,2/25/2017
Ignacio Arpur,Department A,$99.74,11,9 Buena Vista Circle,Washington,District of Columbia,190a11756a2d39f38e4015841a45b1c4,4/26/2017
Atlante Harower,Department D,$49.58,25,91067 Nevada Drive,Norfolk,Virginia,581dee76937bc5322bea0fe20fa91d39,5/31/2016
Zaneta Delmage,Department B,$52.18,91,8486 Ridgeview Alley,Albany,New York,8ad44352ff0b72ce1088f6b791213db7,12/31/2016
Zebedee Kedge,Department A,$84.59,4,43 Mayer Point,Evansville,Indiana,11bb025849b577daf6b4f222b3677255,1/24/2016
Ortensia Le,Department C,$73.02,27,27775 Di Loreto Way,Sacramento,California,5de86e283af960eb4789ebab9584c532,3/18/2017
Jacquette Oakley,Department C,$11.81,42,172 Jenifer Road,Boca Raton,Florida,469e92cfe9b02987f03a38f5363800f4,2/10/2016
Ignacio Arpur,Department A,$25.31,75,7992 Northfield Street,Charlotte,North Carolina,c67595fd70a3e166e47f17f67e4b6dec,7/20/2017
Ignacio Arpur,Department A,$58.19,37,3438 Golf Pass,New York City,New York,fb7e64ce130d9d65ac8ddccc2adac71b,1/30/2017
Celestyna Erskine,Department C,$83.04,68,46880 Northland Plaza,Pittsburgh,Pennsylvania,3aa96afdefafa2b2b6539295f2173ce3,7/1/2017
Ignacio Arpur,Department A,$15.22,22,8 Clemons Circle,Shreveport,Louisiana,4d29f6d40eda54d24476e5416a2fa269,7/18/2017
Ignacio Arpur,Department A,$78.46,88,2806 Oak Avenue,Columbia,South Carolina,57d65aac0b98fbe3c1c4eaf53638c0f1,2/26/2017
Ortensia Le,Department C,$28.18,82,71785 Scott Park,Tulsa,Oklahoma,cbeb9c4944f63409d0d28887581b9b72,10/23/2016
Powell Amorts,Department B,$48.21,11,567 Mifflin Park,Honolulu,Hawaii,e9547bef4eb88be239aad26302a44cf6,3/15/2016
Atlante Harower,Department D,$84.92,25,32955 Del Sol Terrace,Las Vegas,Nevada,9b15658a7435226c6bf80df6cf1fa779,8/26/2017
Jacquette Oakley,Department C,$14.39,25,42 Commercial Park,Tucson,Arizona,13bca23c3ae12b2bee3d3782835290cb,11/11/2016
Powell Amorts,Department B,$44.99,35,6286 Maple Wood Point,Sacramento,California,284bf877f579e071fce8ae80f4384533,11/3/2016
Shena Reeson,Department B,$62.83,93,2796 Hoard Lane,New York City,New York,e208f1112989bdebe3824c91697fd0d1,6/15/2016
Nell Lindup,Department C,$95.76,93,2371 Sugar Trail,Washington,District of Columbia,a1d57b80f85bf7e6ae6fb1914d0b500a,9/3/2016
Ashleigh Baudinot,Department D,$63.66,38,37787 Burrows Avenue,Provo,Utah,eecd8edfbe6751fb380c7bbdf9848ddb,5/18/2017
Powell Amorts,Department B,$24.52,49,14381 Dennis Point,Washington,District of Columbia,5efea9d52bbd2f1aa0426c5af112d92f,2/17/2017
Celestyna Erskine,Department C,$44.20,100,3 Starling Plaza,Duluth,Minnesota,99659c863e9f9be2b5ae1a095700840c,4/15/2017
Modesty Berringer,Department D,$90.42,2,5962 Forster Street,El Paso,Texas,d839cb496cf34c726f45df346fa1634f,12/9/2016
Rutherford Kermath,Department D,$81.33,55,87 Brickson Park Alley,Des Moines,Iowa,3387577d39ba9321299281ec99f57a17,12/10/2016
Shena Reeson,Department B,$80.49,15,4850 Beilfuss Point,Farmington,Michigan,b65330b4154e1fcd72c2b8a50753cfbb,4/23/2017
Zebedee Kedge,Department A,$22.43,96,1 Northport Junction,Colorado Springs,Colorado,b2bc847d7b095ad97e762ae33584ac01,4/21/2016
Powell Amorts,Department B,$48.34,62,5 Waubesa Point,Abilene,Texas,cbcf7397d4825bc4fb8402afcea16884,6/15/2016
Powell Amorts,Department B,$11.75,31,2 Heffernan Alley,El Paso,Texas,fcbd3cfb213b76fc90e29528dec0e254,5/29/2017
Powell Amorts,Department B,$99.38,72,88 Bunting Place,Dallas,Texas,ed273c1d4baaf26cab40de0e3d1b904c,5/24/2016
Bartholemy Kment,Department B,$5.62,9,30973 Sauthoff Parkway,Denton,Texas,5e596004990e8da09effe4dcc478233e,5/14/2016
Jacquette Oakley,Department C,$84.08,3,0016 Russell Point,New Haven,Connecticut,bcb40e025fd5fb7d04e02ea2e416e01a,4/5/2016
Shane Simkins,Department B,$0.92,6,0023 Hansons Junction,Washington,District of Columbia,624f97852f608571a1ea01faa001d340,12/28/2016
Brear Fairs,Department D,$10.08,6,6 Graedel Pass,Birmingham,Alabama,709aba47c2892790866a41bca8696120,1/20/2017
Modesty Berringer,Department D,$80.41,41,99520 Oneill Circle,High Point,North Carolina,00c60ae9698ec3f4a5143026b9af15ae,11/29/2016
Ashleigh Baudinot,Department D,$41.69,75,03 Green Drive,Peoria,Illinois,eb65e948bd17ea9b3d930c6bc52df8f9,9/21/2016
,,,37,70 Melody Junction,Anchorage,Alaska,0dfa7d19dc749627439a721037e60b7b,1/17/2017
Celestyna Erskine,Department C,$69.37,83,74030 Longview Crossing,Dallas,Texas,cf8ac1c65b0e35a4b6e1683a4925e216,2/4/2016
Rutherford Kermath,Department D,$85.72,94,47 Veith Hill,Albuquerque,New Mexico,33e16de34fa0c1813a09f37da19c70d1,10/4/2016
Ortensia Le,Department C,$97.05,31,731 Declaration Parkway,Wichita,Kansas,1e133559704a8c073beb10ec60cce7e0,6/6/2016
Nell Lindup,Department C,$94.28,8,0 Portage Center,Orlando,Florida,e5a1c97c6a77f95443f64fdb37b441fb,5/11/2017
Chad Yeatman,Department A,$9.80,2,39600 Morningstar Point,Washington,District of Columbia,e3368258c8091203acba1328f59782a3,12/16/2016
Brear Fairs,Department D,$74.72,13,32 Magdeline Crossing,Albuquerque,New Mexico,c041c0c54d81e522414578e902223a4f,6/29/2016
Ortensia Le,Department C,$33.26,25,881 Lunder Center,Sioux City,Iowa,9f9fe4dbb656db335735f0ba93c26597,3/31/2017
Jacquette Oakley,Department C,$50.76,64,37367 Merrick Street,Albuquerque,New Mexico,39fb4093e84cbac7499ace053462290f,3/14/2017
Rutherford Kermath,Department D,$77.06,88,2798 Sachs Crossing,Las Vegas,Nevada,404f626bb47a57ff7a34a44473db386b,5/19/2017
Celestyna Erskine,Department C,$40.30,75,5 Kinsman Plaza,Carlsbad,California,b2387acd5c4119bfed6dad46573d29bc,11/2/2016
Krystle Boothe,Department D,$60.61,15,909 Almo Road,Worcester,Massachusetts,4375dc050af923f52edd0cd8561fc871,8/30/2016
Rutherford Kermath,Department D,$25.15,43,34 Oriole Plaza,Hartford,Connecticut,7abbb3c979a19db42e8e03256cbd1bb6,7/14/2017
Atlante Harower,Department D,$9.83,50,55 Canary Street,Scottsdale,Arizona,fe278fefdb7d5db71b77b63cfc4736f4,4/27/2017
Shane Simkins,Department B,$45.52,37,58 Huxley Lane,Bellevue,Washington,5a6bd0dac79e2a1524755193926a0405,8/30/2016
Zebedee Kedge,Department A,$51.66,31,9 Claremont Park,Jacksonville,Florida,8094a3e2a8c51907a97cbd1d99a2006e,3/18/2016
Jacquette Oakley,Department C,$90.23,53,7 Main Circle,Saint Paul,Minnesota,4006d52d70756b2797a7a218ec7103b3,7/27/2017
Nell Lindup,Department C,$7.24,22,19303 Rigney Trail,Knoxville,Tennessee,f5d55cedd263936d47713b8de727e9f5,3/17/2016
Shane Simkins,Department B,$72.09,45,849 Merchant Hill,Tampa,Florida,12a5351ae627abaf6540c40e251950c6,1/13/2017
Powell Amorts,Department B,$58.26,79,41 Chive Trail,Columbus,Ohio,9b836c35b0f478d367eee6eafff9179d,10/17/2016
Gothart Whimpenny,Department C,$40.82,31,10 Coleman Court,Beaumont,Texas,016ca1e3bade1eb66003d41fd74018a3,7/8/2017
,,,18,363 Moose Center,Little Rock,Arkansas,c53b4fbb710f63c25b54916d156bd212,7/14/2016
Celestyna Erskine,Department C,$73.93,64,98 Cordelia Junction,Jamaica,New York,0c64c3eb4a465eb63b8a08e91da59924,11/12/2016
Ortensia Le,Department C,$36.23,78,7579 Tomscot Center,El Paso,Texas,5e19765718bd608ce76bcf42e3c089cd,12/19/2016
Powell Amorts,Department B,$14.05,70,8807 Aberg Alley,Baton Rouge,Louisiana,fd974d2555c8fb982a1051564c95937c,3/19/2017
Brear Fairs,Department D,$9.18,45,8 Briar Crest Circle,Denver,Colorado,36b678138ce42da56a91341fb3a5c924,3/6/2016
Brear Fairs,Department D,$43.23,68,718 Maple Drive,Akron,Ohio,8028c7d6b712080f6f99497e6cf2589d,8/28/2016
Zebedee Kedge,Department A,$16.20,19,567 Chinook Park,Stockton,California,5003329ecdc856d110fa99bf2a44cbbe,2/29/2016
Zaneta Delmage,Department B,$54.19,28,485 Scoville Plaza,Spokane,Washington,f1fa2336fee9dd0ab61d168548d7aa8a,7/9/2016
Rutherford Kermath,Department D,$93.52,81,1902 Westport Center,Tucson,Arizona,39986b35dfcbbb3aaa4411fc1bacc074,1/16/2016
Nell Lindup,Department C,$40.30,55,3676 Messerschmidt Lane,Gadsden,Alabama,94a8894b7fa3a095ac7dc833a1d6b411,1/21/2017
Gothart Whimpenny,Department C,$90.23,3,410 Evergreen Alley,Harrisburg,Pennsylvania,ab302fd51fb37aaa4d976ce77b550dd4,6/4/2017
Brear Fairs,Department D,$93.47,27,446 Upham Parkway,Huntsville,Alabama,67de787f28a63aa112147ef78b507c3d,7/5/2016
Zaneta Delmage,Department B,$42.56,85,6 Jackson Point,Tallahassee,Florida,17725bce3f25a970912722085a448bea,12/6/2016
Ortensia Le,Department C,$61.70,94,29840 Northridge Point,Las Vegas,Nevada,8fe49a4c4c58c6a7e86f312237aabf68,3/25/2016
Powell Amorts,Department B,$35.39,98,4 Arrowood Drive,Boston,Massachusetts,6c0a353997f0c18bfd229e70af1936b1,9/11/2016
Zebedee Kedge,Department A,$89.77,54,51608 Blaine Trail,Pensacola,Florida,b9bd8ed7893402f360eaf4e4be6a5c78,9/5/2016
Dallas Le,Department B,$9.90,75,4 Independence Road,Des Moines,Iowa,0142b7f7585716211ebd0a97b15845fe,2/20/2016
Shena Reeson,Department B,$90.88,69,86962 John Wall Trail,Louisville,Kentucky,969a5bbb564f69afecc7fa6678dc9eb1,11/5/2016
Atlante Harower,Department D,$13.87,82,8307 Bowman Lane,Gainesville,Florida,dbcb073814cc3d8c7daba4eaee10b442,6/4/2016
Chad Yeatman,Department A,$58.50,42,74 Charing Cross Way,New York City,New York,20fc7fe1c81b45b511be8adf718eb873,4/25/2017
Atlante Harower,Department D,$20.99,24,5 Sachtjen Trail,Killeen,Texas,7af0e2d36bcdd8d13bfa7bbebf452bef,12/5/2016
,,,20,48173 Stang Hill,Oakland,California,494a062f35f322a7ae771c7ee58bb226,1/13/2017
Powell Amorts,Department B,$57.82,33,02 Welch Park,Worcester,Massachusetts,de6be5e39474eaad592bd9985e5c5c79,4/24/2017
Jacquette Oakley,Department C,$42.67,32,993 Jay Center,Shreveport,Louisiana,e24e1a3c75ce0fb71187cab1a0ff92ac,2/13/2017
Ortensia Le,Department C,$46.95,19,8388 Blackbird Way,Pueblo,Colorado,98daa8bd706fedbfa4cb1e47f2d424ee,6/6/2016
Celestyna Erskine,Department C,$93.01,65,17054 Granby Court,Maple Plain,Minnesota,e8d2157e17d15e5215fbc08a1c7f8a94,10/5/2016
Dallas Le,Department B,$61.74,73,550 Sullivan Pass,Raleigh,North Carolina,c1ad74995ff7bb1a0f814bd7938b1c96,3/31/2016
Atlante Harower,Department D,$4.49,1,00 Vermont Street,Richmond,Virginia,866436b74fa4eedf40b11f51f732a5f3,6/26/2017
Celestyna Erskine,Department C,$63.89,7,1 Anzinger Point,Charlotte,North Carolina,dac1053e50240ca4050a6611bf61a2a5,7/21/2017
,,,23,4 Meadow Vale Way,Reno,Nevada,299c237de4c77898787333c59e538026,12/5/2016
Atlante Harower,Department D,$39.86,27,59 Meadow Ridge Place,Wilmington,Delaware,3eeebc1b3e3b9f828258c80788b5061b,6/28/2016
Dallas Le,Department B,$76.53,78,59729 Pearson Hill,Huntsville,Alabama,7cb2e15b895729dd49da1b144fb324fd,2/26/2017
Zaneta Delmage,Department B,$31.56,19,041 Lerdahl Terrace,Fort Worth,Texas,e1da5bba40f6a8d5330df10820556d2d,5/2/2016
Gothart Whimpenny,Department C,$19.09,32,29613 Comanche Parkway,Sarasota,Florida,dad997b02dd9ed21de7ce3bcfcb10e6e,7/3/2016
Ortensia Le,Department C,$3.05,98,863 Marquette Circle,Charleston,West Virginia,8756ec7d27f5251257530be7e017afec,8/24/2017
Chad Yeatman,Department A,$64.77,41,501 Cascade Circle,Richmond,Virginia,df068d51b7e048ed83a1a130f0d92b1f,5/14/2017
Nell Lindup,Department C,$77.65,50,3510 Canary Hill,Young America,Minnesota,8135c02315100c9f91bf0fc3f91366a5,6/21/2017
Chad Yeatman,Department A,$42.17,61,28571 Tony Hill,Jackson,Mississippi,fff9eb317962aa7cee7d1d2d992df0c0,8/21/2016
Atlante Harower,Department D,$54.00,36,2291 Holy Cross Way,Houston,Texas,478f88e3369e887f03dca19a2047a1a2,12/30/2016
Gothart Whimpenny,Department C,$21.47,47,763 Shasta Pass,Columbus,Ohio,95e86e0a37595ba69e58c117eab5c0a8,3/10/2017
Zebedee Kedge,Department A,$50.46,97,6713 Coleman Pass,Tucson,Arizona,a6fb1601a62b9b0bc8ef1b3a9f430c21,1/26/2017
Shane Simkins,Department B,$53.14,29,5154 Basil Junction,Evansville,Indiana,8617e2374067005246316a7daa76bc8c,7/17/2017
Rutherford Kermath,Department D,$9.34,1,409 Miller Crossing,Sacramento,California,bb1da1d4fae51268f74e779eef423343,3/23/2016
Ortensia Le,Department C,$51.01,17,96183 Shelley Street,Washington,District of Columbia,e32be5494abf10e923e57992c35120ae,1/9/2016
Ignacio Arpur,Department A,$99.29,67,57 Montana Avenue,Dayton,Ohio,e97fb1a567766a93af78858713a7e1c8,7/5/2016
Jacquette Oakley,Department C,$37.60,61,00 Union Center,Saint Paul,Minnesota,cb844a1f09deeb6e1310b25a34ec5034,5/12/2016
Powell Amorts,Department B,$80.32,14,65 Elmside Park,Long Beach,California,d22eb785ffbd1290af3e3da022db6e5e,12/28/2016
Krystle Boothe,Department D,$92.24,84,24559 Talmadge Park,Milwaukee,Wisconsin,6fd22658233cbd0d767951636e60135b,3/3/2016
Dallas Le,Department B,$41.63,24,5 Messerschmidt Street,Los Angeles,California,72bc0498a60a2b734be3af7c9a73b383,3/13/2016
Zebedee Kedge,Department A,$73.28,40,085 Badeau Junction,Tulsa,Oklahoma,a0d3265d42a206e2d6f9c17a7852a766,1/30/2016
Powell Amorts,Department B,$44.47,43,3 Badeau Court,Orlando,Florida,f6568323c58c11e5e8d73095b44bc7e0,2/18/2017
Krystle Boothe,Department D,$37.57,85,63 8th Terrace,Stockton,California,134f72873fc2e02bf261366a7fa35fa5,7/4/2016
Shane Simkins,Department B,$9.92,13,769 Hovde Alley,Nashville,Tennessee,24387bb05c135d66fffc684c4ce1f60b,6/30/2017
Gothart Whimpenny,Department C,$81.14,28,86 Reinke Circle,Dallas,Texas,a3ade0e92d0eb0f3d5d1b0ee161e526a,3/21/2017
Powell Amorts,Department B,$64.34,77,28 Loeprich Park,Philadelphia,Pennsylvania,876ed5b56a5f62ee9188b26cf99633a3,5/6/2017
Jacquette Oakley,Department C,$8.96,48,27 Dryden Alley,Fort Worth,Texas,9f24f9a263da23100c4f54b2e66aee42,8/13/2016
Celestyna Erskine,Department C,$0.00,46,048 Mesta Street,Trenton,New Jersey,4c1e58b750887c974b3813ab024125d2,10/3/2016
Ashleigh Baudinot,Department D,$67.87,70,24 Ilene Circle,Mesa,Arizona,5c1175615f174b4657a3e4e0f66496fb,6/27/2016
Linn Becerra,Department B,$17.52,24,471 East Hill,Houston,Texas,fbcf3f570656f8fef27c8096f2bee817,9/17/2016
Chad Yeatman,Department A,$36.79,34,6531 Clove Center,Wilkes Barre,Pennsylvania,2b66649000b1256a8b81bd720585988f,9/29/2016
Celestyna Erskine,Department C,$85.23,77,242 Oak Court,Peoria,Illinois,6aeb56991a90664f914b6fbf65b481a3,4/1/2016
Powell Amorts,Department B,$40.45,63,402 Stuart Lane,Miami,Florida,5c41b053fdb6cc39fc51dee464aeda1a,1/11/2016
Chad Yeatman,Department A,$8.83,97,08273 Beilfuss Circle,Charlotte,North Carolina,0a191cf3361a6338323b0ddcf8069281,1/10/2016
Ortensia Le,Department C,$59.57,73,7344 Park Meadow Plaza,Los Angeles,California,81ca07ab20c3848b2ef4d384f0d02f68,2/4/2017
Celestyna Erskine,Department C,$90.54,16,251 Oak Plaza,Athens,Georgia,3a515645005a439546ce8897281c4edd,5/18/2016
Zebedee Kedge,Department A,$48.63,75,41522 Karstens Road,Fort Pierce,Florida,642cdddb86a21488a98be92890116496,7/25/2017
Celestyna Erskine,Department C,$56.96,52,8967 Florence Lane,Phoenix,Arizona,925c28fd07cda0852c5d03849dd21890,7/25/2017
,,,100,68 Mcbride Place,Kansas City,Missouri,1a7a5c3b0fd0c8115121ecde24efe85c,8/27/2016
Chad Yeatman,Department A,$90.12,90,4616 Thackeray Plaza,Sioux Falls,South Dakota,8dc150179ad3136664f0a266c728b3e3,12/29/2016
Powell Amorts,Department B,$29.48,37,3512 Ryan Drive,Greenville,South Carolina,58139f113e9321b09e42f1695889318d,8/13/2017
Modesty Berringer,Department D,$68.62,27,97160 Hanover Hill,Honolulu,Hawaii,1fdeca8cacd206c8fd15f2129fb78d8a,1/23/2017
Linn Becerra,Department B,$2.24,96,8 Golf Center,Corpus Christi,Texas,a9cf66abf12c96a00b7a2766741c8aec,5/26/2016
Ignacio Arpur,Department A,$49.98,21,916 Northfield Place,Pittsburgh,Pennsylvania,6ecd0b02dd5cc150d0164cf04b3cb23b,5/13/2017
Gothart Whimpenny,Department C,$81.69,38,8 Northfield Parkway,Modesto,California,5d8d5022290988aa5e3f0fc39755fd21,6/6/2017
Rutherford Kermath,Department D,$13.24,35,5 Vahlen Point,Fort Wayne,Indiana,dc67f94bfe75c828b27ea75f0a7ce446,1/24/2016
Atlante Harower,Department D,$1.91,50,703 Harper Court,Sacramento,California,03b1315b2d027d68fdfd886dc7934a73,7/26/2017
Linn Becerra,Department B,$23.21,70,9523 Charing Cross Terrace,Knoxville,Tennessee,13fd987ed917202b61cffe03316c0f64,1/17/2016
Zaneta Delmage,Department B,$31.84,88,5689 Kim Park,Washington,District of Columbia,b36f8bb539dfca0a435679db7f2a3f29,2/8/2016
Krystle Boothe,Department D,$33.22,39,78794 Weeping Birch Circle,Gatesville,Texas,7dbc58bafb9533fea3352c026af55ec2,1/17/2016
Shane Simkins,Department B,$88.60,47,17229 Dennis Pass,Kingsport,Tennessee,af3a583ae2ff03648279d0a6eb502ae2,4/10/2016
Ignacio Arpur,Department A,$81.76,91,153 Sommers Pass,Colorado Springs,Colorado,52259485ba3f1fa25e58c015e26e1218,5/28/2017
Rutherford Kermath,Department D,$52.72,12,89 Buhler Avenue,Wilmington,North Carolina,ff1318256115c7848f17ba9184758db1,3/14/2016
Krystle Boothe,Department D,$37.40,6,7874 Melvin Trail,Van Nuys,California,056dd796dc74e63860b5eba9836f0961,6/2/2017
Ignacio Arpur,Department A,$90.89,22,413 Mayfield Point,El Paso,Texas,eaf4a659f1571222549e77fc6fd595dc,9/3/2016
Bartholemy Kment,Department B,$31.86,40,22 Melvin Court,Los Angeles,California,01309b9ac722ac15e8545932e4c27cfb,11/14/2016
Linn Becerra,Department B,$82.36,21,25 Lerdahl Way,San Antonio,Texas,0f89ffab0e692602aee70435587deb8d,4/25/2016
Krystle Boothe,Department D,$17.32,33,3614 Jackson Pass,Orlando,Florida,00e9f439431fa3ac49c98bffc223ac51,8/1/2017
Brear Fairs,Department D,$4.12,87,864 Calypso Trail,Jacksonville,Florida,1097e4f5cc68203b9d7381a857147842,5/18/2016
Rutherford Kermath,Department D,$2.14,50,7706 Chive Way,Wilmington,North Carolina,3ac75d0d6319bdcf585c18a2da836a78,7/25/2016
Krystle Boothe,Department D,$49.96,30,4 Carberry Point,Saginaw,Michigan,fd3ee2d50fc39798bd981070c4bbbd9e,9/12/2016
Zaneta Delmage,Department B,$62.70,62,62455 Nelson Court,Reston,Virginia,1a3fe75d002654c9cee91ae43432aa4b,11/2/2016
Krystle Boothe,Department D,$14.33,4,257 Troy Trail,New York City,New York,a6fed3896e713d60aaf9381e1c2c8294,6/13/2016
Shena Reeson,Department B,$82.96,98,99 Lien Court,Baton Rouge,Louisiana,e1f47e5ab917787ea80216ede96f91d7,6/5/2017
Rutherford Kermath,Department D,$36.14,47,34 Charing Cross Court,Las Vegas,Nevada,554defce9d68419c4bd4c3134c13a850,6/14/2017
Rutherford Kermath,Department D,$21.56,98,14070 Texas Park,Albany,Georgia,d21cb150ecff6ffd18ee0f6162fad0cf,4/20/2016
Bartholemy Kment,Department B,$44.10,90,27 Pierstorff Point,West Palm Beach,Florida,d7a5f21efef9391478ee3adf9a5f6f01,8/5/2016
Brear Fairs,Department D,$61.86,40,2 Thompson Avenue,Washington,District of Columbia,64efefb496693bc739b7f30784e259ef,6/1/2017
Atlante Harower,Department D,$61.00,53,32582 Drewry Plaza,Bozeman,Montana,a7b016a27feb251688b43d651d5f6b55,7/11/2016
Celestyna Erskine,Department C,$15.68,45,93 South Junction,Suffolk,Virginia,1b3fd4e1d531e2e234737d5c562c48fd,11/1/2016
Ashleigh Baudinot,Department D,$53.96,38,4057 Acker Way,Kansas City,Kansas,7f610f185b2e4acbcda9ab24310b154f,6/15/2016
Modesty Berringer,Department D,$48.30,6,948 Wayridge Way,Longview,Texas,894a438b0b64e8f3a7d2a8d1e6725ba4,6/25/2017
Zebedee Kedge,Department A,$45.41,51,52121 Sauthoff Plaza,Birmingham,Alabama,572c262bb82e10f38c036ee4ea6099a5,10/12/2016
Dallas Le,Department B,$77.95,91,847 Algoma Alley,Philadelphia,Pennsylvania,3594b679ccd8e4ca3a480dafd88d86c5,5/4/2016
Ashleigh Baudinot,Department D,$96.93,91,955 Moose Road,Atlanta,Georgia,cb2f4287d86596910c845fb22ecea44e,2/10/2017
Shena Reeson,Department B,$85.22,42,42358 Elmside Street,Houston,Texas,ee39a225045b21584965b0777204ae1c,3/19/2017
Zaneta Delmage,Department B,$60.92,54,03 Ridge Oak Avenue,San Luis Obispo,California,f9a33e751ad7edfb30fec653b0348590,4/15/2016
Shane Simkins,Department B,$52.55,6,13 Rockefeller Place,Atlanta,Georgia,2ee0deee7ef81bd345efd03e89c189d1,11/5/2016
Celestyna Erskine,Department C,$62.68,90,03 Porter Park,Santa Monica,California,b1ca8ba4adbb4dc0026d56c27d0116f2,11/12/2016
Ignacio Arpur,Department A,$63.03,22,8766 Oak Valley Park,Denver,Colorado,40cf4fc99c8bbb2fc2c1d49539135134,4/29/2017
Zaneta Delmage,Department B,$70.94,18,8 Forster Trail,Conroe,Texas,871fbd809b596ee283f00b924dc96b26,3/3/2017
Linn Becerra,Department B,$94.89,41,77 Northport Point,Missoula,Montana,4136eda3de18dd25cb72064216bc4b93,12/21/2016
Bartholemy Kment,Department B,$41.46,53,8 Hoard Avenue,Louisville,Kentucky,a5572c3bd4f11269f50bb1b0b0d72ae0,8/9/2016
Zaneta Delmage,Department B,$53.93,23,8899 Waubesa Alley,Harrisburg,Pennsylvania,e179910b237c88ad7bfdad1cfe7f5740,4/30/2016
Krystle Boothe,Department D,$59.73,30,218 Lake View Point,Mobile,Alabama,d23620939f95206c22ad1292d7ea27c0,11/13/2016
Jacquette Oakley,Department C,$67.68,8,35 Spohn Point,Rochester,New York,a27472e96e11b1d7fa5739b2e4687769,6/11/2017
Shena Reeson,Department B,$31.12,40,91964 Pleasure Court,Des Moines,Iowa,4f8d2496fe529e749b1bef65a8559b79,9/11/2016
Shena Reeson,Department B,$20.99,78,8 Grasskamp Road,Decatur,Illinois,63a470dab8bbfc333262ec7f84106bc1,3/15/2016
Ashleigh Baudinot,Department D,$42.19,35,4 Hauk Terrace,Asheville,North Carolina,053bd04068470cda783d692ce6d9d28e,9/25/2016
Brear Fairs,Department D,$33.57,39,838 Lake View Drive,Pensacola,Florida,c7523aaf044449efb6da1cb92e011f38,7/23/2017
Ashleigh Baudinot,Department D,$34.95,97,45593 Southridge Parkway,Waterloo,Iowa,c970d304b67a9be104a15ed92bb0366b,5/7/2016
Ortensia Le,Department C,$78.74,25,6 Melrose Parkway,Little Rock,Arkansas,59f64e41b8d4482c30a142082809abaa,3/19/2017
Gothart Whimpenny,Department C,$70.32,91,26 Mallory Way,Sioux City,Iowa,adf4947f9704f88b196db3871f4b53ae,11/27/2016
Ignacio Arpur,Department A,$82.08,64,75685 Mcguire Plaza,Los Angeles,California,a569842984a112f00c287ca5b39fc8a8,10/5/2016
Ignacio Arpur,Department A,$3.10,51,3169 Aberg Place,Ogden,Utah,282161f2d8669091d3e906b20355d7df,11/8/2016
Zebedee Kedge,Department A,$95.56,82,54 Chive Avenue,York,Pennsylvania,07e3006bbcfa7b941a5e2fc2f96f0272,8/3/2017
Modesty Berringer,Department D,$77.49,4,05 Pond Parkway,Houston,Texas,7c7a04e4b8475380bf88ab3a0b4fcf4e,8/7/2017
Modesty Berringer,Department D,$77.77,85,00763 Dakota Lane,Charlotte,North Carolina,5e86b953ffcd4656b4f8ae66c4deee08,4/11/2016
Brear Fairs,Department D,$41.89,40,20429 Victoria Hill,Minneapolis,Minnesota,0296116704828ec473a36b1ed6b09d55,5/12/2016
Shane Simkins,Department B,$98.64,40,6 Thompson Point,Philadelphia,Pennsylvania,f3210b429ab14e0172d8baf9b2cdc499,2/9/2017
